FlightNum,PlanTime,ActualTime,Direction,City,Country,Terminal,Status
315,2024-08-04T10:10:00,2024-08-04T10:26:00,D,LONDON,UNITED KINGDOM,3,DEPARTED
3181,2024-08-04T10:10:00,2024-08-04T10:26:00,D,LONDON,UNITED KINGDOM,3,DEPARTED
7493,2024-08-04T10:10:00,2024-08-04T10:26:00,D,LONDON,UNITED KINGDOM,3,DEPARTED
873,2024-08-04T10:35:00,2024-08-04T10:28:00,A,YEREVAN,ARMENIA,3,LANDED
7069,2024-08-04T10:00:00,2024-08-04T10:29:00,D,PARIS,FRANCE,3,DEPARTED
7885,2024-08-04T10:00:00,2024-08-04T10:29:00,D,PARIS,FRANCE,3,DEPARTED
323,2024-08-04T10:00:00,2024-08-04T10:29:00,D,PARIS,FRANCE,3,DEPARTED
3163,2024-08-04T10:00:00,2024-08-04T10:29:00,D,PARIS,FRANCE,3,DEPARTED
307,2024-08-04T10:30:00,2024-08-04T10:30:00,A,RHODES,GREECE,3,CANCELED
2521,2024-08-04T10:05:00,2024-08-04T10:35:00,D,PRAGUE,CZECH REPUBLIC,3,DEPARTED
7086,2024-08-04T10:35:00,2024-08-04T10:35:00,D,ABU DHABI,UNITED ARAB EMIRATES,3,CANCELED
249,2024-08-04T08:15:00,2024-08-04T10:38:00,D,SALZBURG,AUSTRIA,3,DEPARTED
6041,2024-08-04T10:45:00,2024-08-04T10:45:00,A,ROME,ITALY,3,CANCELED
2097,2024-08-04T10:45:00,2024-08-04T10:45:00,A,KRAKOW,POLAND,3,CANCELED
607,2024-08-04T03:05:00,2024-08-04T10:48:00,A,BOURGAS,BULGARIA,3,LANDED
1559,2024-08-04T10:50:00,2024-08-04T10:50:00,A,WARSAW,POLAND,3,CANCELED
5132,2024-08-04T10:40:00,2024-08-04T10:52:00,A,LARNACA,CYPRUS,3,LANDED
6403,2024-08-04T10:55:00,2024-08-04T10:55:00,A,MILAN,ITALY,3,CANCELED
2326,2024-08-04T10:55:00,2024-08-04T10:55:00,D,BUDAPEST,HUNGARY,1,CANCELED
043,2024-08-04T10:25:00,2024-08-04T10:56:00,D,RAMON,ISRAEL,1,DEPARTED
487,2024-08-04T11:00:00,2024-08-04T11:00:00,D,RHODES,GREECE,3,CANCELED
157,2024-08-04T11:10:00,2024-08-04T11:08:00,A,PAPHOS,CYPRUS,3,LANDED
7871,2024-08-04T10:30:00,2024-08-04T11:09:00,D,NEW YORK,UNITED STATES,3,DEPARTED
7855,2024-08-04T10:30:00,2024-08-04T11:09:00,D,NEW YORK,UNITED STATES,3,DEPARTED
6455,2024-08-04T10:30:00,2024-08-04T11:09:00,D,NEW YORK,UNITED STATES,3,DEPARTED
